"id";"token";"customer_id";"title";"description";"status";"priority";"assigned_support_agent_id";"assigned_technician_id";"created_at";"updated_at";"type";"product_id";"service_id";"price";"score"
7;"PbchtZvMY9KHHBcC";5;"המקרר אינו מקרר באופן רציף";"הלקוח מדווח שהמקרר מפסיק לקרר למספר שעות וחוזר לפעול לאחר ניתוק וחיבור לחשמל. נדרשת בדיקת טכנאי.";"open";"mid";0;0;"2026-06-24 22:58:46";"2026-06-24 22:58:46";0;0;0;"";50
8;"u5GSZJFaQ9We5HV5";5;"התקנת מדיח הכלים הושלמה";"הטכנאי התקין את מדיח הכלים, חיבר את כניסת המים והניקוז וביצע הפעלה מלאה. המכשיר פועל באופן תקין.";"closed";"mid";0;4;"2026-06-24 23:00:42";"2026-07-08 12:52:10";0;0;0;"";55
9;"uvqKnXxsQ5Pvlqha";5;"נזילת מים ממכונת הכביסה";"במהלך ההפעלה מצטברים מים מתחת למכונת הכביסה. הלקוח בדק את צינור הכניסה אך מקור הנזילה לא אותר.";"open";"mid";0;4;"2026-06-24 23:04:03";"2026-06-24 23:04:03";0;0;0;"";50
10;"lFJNiQZJDWeky9G7";5;"התנור אינו מגיע לטמפרטורה הרצויה";"התנור נדלק והמאוורר פועל, אך גם לאחר זמן ממושך הוא אינו מתחמם מעל לטמפרטורה נמוכה.";"open";"mid";0;4;"2026-06-24 23:04:14";"2026-06-24 23:04:14";0;0;0;"";50
11;"wNIAMD2NDuMj9dpR";5;"החלפת גוף חימום בדוד הושלמה";"בוצעה החלפה של גוף החימום וניקוי אבנית. לאחר הבדיקה הדוד מחמם מים כראוי והקריאה נסגרה.";"closed";"mid";0;0;"2026-06-24 23:07:44";"2026-06-24 23:07:44";0;0;0;"";55
12;"95XI2UJhneup9OYw";5;"האפליקציה אינה מזהה את המכשיר";"לאחר התקנת האפליקציה והתחברות לחשבון, המכשיר אינו מופיע ברשימת המוצרים ולא ניתן להשלים את הצימוד.";"new";"mid";0;4;"2026-06-24 23:08:54";"2026-06-24 23:08:54";0;0;0;"";55
13;"UKtyQaxPrPAtE5gl";5;"חיוב כפול עבור ביקור טכנאי";"הלקוח טוען כי חויב פעמיים עבור אותו ביקור שירות ומבקש בדיקה של החשבונית וזיכוי במידת הצורך.";"open";"mid";4;0;"2026-06-24 23:10:05";"2026-07-14 22:52:38";0;0;0;"";50
14;"dIfZbVUiah31WyHF";5;"רעש חריג מהמזגן בזמן הפעלה";"בעת הפעלת המזגן נשמע רעש חזק מהיחידה הפנימית, בעיקר במהירות מאוורר גבוהה. הקירור עדיין עובד.";"waiting_customer";"mid";0;0;"2026-06-24 23:11:43";"2026-07-15 15:20:53";0;0;0;"";10
15;"6G32Ni42QEirADFq";5;"מסך הטלוויזיה מהבהב לסירוגין";"התמונה נעלמת וחוזרת מספר פעמים בזמן הצפייה, בעוד שהקול ממשיך לפעול. החלפת כבל HDMI לא פתרה את הבעיה.";"open";"mid";0;0;"2026-06-24 23:12:39";"2026-07-09 11:28:47";0;0;0;"";50
16;"8O1nhFeRjEaSc23g";5;"דלת מדיח הכלים אינה נסגרת";"מנגנון הנעילה אינו נתפס ולכן לא ניתן להפעיל תוכנית הדחה. לא נראה חפץ שחוסם את הדלת.";"new";"mid";0;4;"2026-06-24 23:12:45";"2026-06-24 23:12:45";0;0;0;"";55
