name,description,sku,price
מזגן עילי 1.25 כ״ס,מזגן עילי לחדר קטן,AC-125-WALL,1890
מזגן עילי 2 כ״ס,מזגן עילי לחלל בינוני,AC-200-WALL,2790
מקרר 500 ליטר,מקרר משפחתי נירוסטה,FR-500-SS,3490
מכונת כביסה 8 ק״ג,מכונת כביסה חסכונית,WM-8KG-ECO,2190
מייבש כביסה 7 ק״ג,מייבש כביסה קונדנסור,DR-7KG-CON,1990
מדיח כלים רחב,מדיח כלים 60 ס״מ,DW-60-FULL,2390
תנור אפייה בנוי,תנור אפייה דיגיטלי,OV-BI-DIG,1690
כיריים אינדוקציה,כיריים 4 אזורי חימום,HB-IND-4Z,1490
קולט אדים,קולט אדים למטבח,HD-KITCHEN-90,890
דוד חשמל 120 ליטר,דוד חשמל משפחתי,BO-120L-EL,1350
דוד שמש 150 ליטר,דוד שמש כולל קולטים,BO-150L-SOL,2890
לוח חשמל דירתי,לוח חשמל 24 מודולים,EL-PANEL-24,1190
מפסק פחת,מפסק פחת חד פאזי,EL-RCD-1P,180
שקע כוח למזגן,שקע כוח 16 אמפר,EL-SOCKET-16A,120
גוף תאורה לד,גוף תאורה תקרה,LT-LED-CEIL,240
מצלמת אבטחה IP,מצלמת IP חיצונית,SEC-CAM-IP,420
ראוטר אלחוטי,ראוטר WiFi לבית ולעסק,NET-ROUTER-WIFI,320
אל פסק 1000VA,גיבוי חשמל למחשב,UPS-1000VA,650
מסך מחשב 24 אינץ׳,מסך LED לעמדה משרדית,MON-24-LED,590
מדפסת לייזר,מדפסת לייזר משרדית,PR-LASER-OFF,780
